,Run,LibraryName,LibraryStrategy,LibrarySelection,SampleName,Sample_title,Sample_cell_line,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_cell_description,Sample_platform_id,Sample_instrument_model
129,SRR16195031,GSM5609818,OTHER,other,GSM5609818,NPC43 scONEseq 133,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 133,GPL18573,Illumina NextSeq 500
130,SRR16195030,GSM5609819,OTHER,other,GSM5609819,NPC43 scONEseq 134,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 134,GPL18573,Illumina NextSeq 500
131,SRR16195029,GSM5609820,OTHER,other,GSM5609820,NPC43 scONEseq 135,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 135,GPL18573,Illumina NextSeq 500
132,SRR16195028,GSM5609821,OTHER,other,GSM5609821,NPC43 scONEseq 136,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 136,GPL18573,Illumina NextSeq 500
133,SRR16195027,GSM5609822,OTHER,other,GSM5609822,NPC43 scONEseq 137,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 137,GPL18573,Illumina NextSeq 500
134,SRR16195026,GSM5609823,OTHER,other,GSM5609823,NPC43 scONEseq 138,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 138,GPL18573,Illumina NextSeq 500
135,SRR16195025,GSM5609824,OTHER,other,GSM5609824,NPC43 scONEseq 139,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 139,GPL18573,Illumina NextSeq 500
136,SRR16195024,GSM5609825,OTHER,other,GSM5609825,NPC43 scONEseq 140,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 140,GPL18573,Illumina NextSeq 500
137,SRR16195023,GSM5609826,OTHER,other,GSM5609826,NPC43 scONEseq 141,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 141,GPL18573,Illumina NextSeq 500
138,SRR16195022,GSM5609827,OTHER,other,GSM5609827,NPC43 scONEseq 142,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 142,GPL18573,Illumina NextSeq 500
139,SRR16195021,GSM5609828,OTHER,other,GSM5609828,NPC43 scONEseq 143,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 143,GPL18573,Illumina NextSeq 500
140,SRR16195020,GSM5609829,OTHER,other,GSM5609829,NPC43 scONEseq 144,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 144,GPL18573,Illumina NextSeq 500
141,SRR16195019,GSM5609830,OTHER,other,GSM5609830,NPC43 scONEseq 145,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 145,GPL18573,Illumina NextSeq 500
142,SRR16195018,GSM5609831,OTHER,other,GSM5609831,NPC43 scONEseq 146,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 146,GPL18573,Illumina NextSeq 500
143,SRR16195017,GSM5609832,OTHER,other,GSM5609832,NPC43 scONEseq 147,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 147,GPL18573,Illumina NextSeq 500
144,SRR16195016,GSM5609833,OTHER,other,GSM5609833,NPC43 scONEseq 148,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 148,GPL18573,Illumina NextSeq 500
145,SRR16195015,GSM5609834,OTHER,other,GSM5609834,NPC43 scONEseq 149,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 149,GPL18573,Illumina NextSeq 500
146,SRR16195014,GSM5609835,OTHER,other,GSM5609835,NPC43 scONEseq 150,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 150,GPL18573,Illumina NextSeq 500
147,SRR16195013,GSM5609740,OTHER,other,GSM5609740,NPC43 scONEseq 055,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 055,GPL18573,Illumina NextSeq 500
148,SRR16195012,GSM5609741,OTHER,other,GSM5609741,NPC43 scONEseq 056,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 056,GPL18573,Illumina NextSeq 500
149,SRR16195011,GSM5609742,OTHER,other,GSM5609742,NPC43 scONEseq 057,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 057,GPL18573,Illumina NextSeq 500
150,SRR16195010,GSM5609743,OTHER,other,GSM5609743,NPC43 scONEseq 058,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 058,GPL18573,Illumina NextSeq 500
151,SRR16195009,GSM5609744,OTHER,other,GSM5609744,NPC43 scONEseq 059,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 059,GPL18573,Illumina NextSeq 500
152,SRR16195008,GSM5609745,OTHER,other,GSM5609745,NPC43 scONEseq 060,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 060,GPL18573,Illumina NextSeq 500
153,SRR16195007,GSM5609746,OTHER,other,GSM5609746,NPC43 scONEseq 061,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 061,GPL18573,Illumina NextSeq 500
154,SRR16195006,GSM5609747,OTHER,other,GSM5609747,NPC43 scONEseq 062,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 062,GPL18573,Illumina NextSeq 500
155,SRR16195005,GSM5609748,OTHER,other,GSM5609748,NPC43 scONEseq 063,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 063,GPL18573,Illumina NextSeq 500
156,SRR16195004,GSM5609749,OTHER,other,GSM5609749,NPC43 scONEseq 064,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 064,GPL18573,Illumina NextSeq 500
157,SRR16195003,GSM5609750,OTHER,other,GSM5609750,NPC43 scONEseq 065,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 065,GPL18573,Illumina NextSeq 500
158,SRR16195002,GSM5609751,OTHER,other,GSM5609751,NPC43 scONEseq 066,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 066,GPL18573,Illumina NextSeq 500
159,SRR16195001,GSM5609752,OTHER,other,GSM5609752,NPC43 scONEseq 067,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 067,GPL18573,Illumina NextSeq 500
160,SRR16195000,GSM5609753,OTHER,other,GSM5609753,NPC43 scONEseq 068,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 068,GPL18573,Illumina NextSeq 500
161,SRR16194999,GSM5609754,OTHER,other,GSM5609754,NPC43 scONEseq 069,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 069,GPL18573,Illumina NextSeq 500
162,SRR16194998,GSM5609755,OTHER,other,GSM5609755,NPC43 scONEseq 070,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 070,GPL18573,Illumina NextSeq 500
163,SRR16194997,GSM5609756,OTHER,other,GSM5609756,NPC43 scONEseq 071,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 071,GPL18573,Illumina NextSeq 500
164,SRR16194996,GSM5609757,OTHER,other,GSM5609757,NPC43 scONEseq 072,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 072,GPL18573,Illumina NextSeq 500
165,SRR16194995,GSM5609758,OTHER,other,GSM5609758,NPC43 scONEseq 073,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 073,GPL18573,Illumina NextSeq 500
166,SRR16194994,GSM5609759,OTHER,other,GSM5609759,NPC43 scONEseq 074,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 074,GPL18573,Illumina NextSeq 500
167,SRR16194993,GSM5609760,OTHER,other,GSM5609760,NPC43 scONEseq 075,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 075,GPL18573,Illumina NextSeq 500
168,SRR16194992,GSM5609761,OTHER,other,GSM5609761,NPC43 scONEseq 076,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 076,GPL18573,Illumina NextSeq 500
169,SRR16194991,GSM5609762,OTHER,other,GSM5609762,NPC43 scONEseq 077,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 077,GPL18573,Illumina NextSeq 500
170,SRR16194990,GSM5609763,OTHER,other,GSM5609763,NPC43 scONEseq 078,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 078,GPL18573,Illumina NextSeq 500
171,SRR16194989,GSM5609836,OTHER,other,GSM5609836,NPC43 scONEseq 151,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 151,GPL18573,Illumina NextSeq 500
172,SRR16194988,GSM5609837,OTHER,other,GSM5609837,NPC43 scONEseq 152,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 152,GPL18573,Illumina NextSeq 500
173,SRR16194987,GSM5609838,OTHER,other,GSM5609838,NPC43 scONEseq 153,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 153,GPL18573,Illumina NextSeq 500
174,SRR16194986,GSM5609839,OTHER,other,GSM5609839,NPC43 scONEseq 154,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 154,GPL18573,Illumina NextSeq 500
175,SRR16194985,GSM5609840,OTHER,other,GSM5609840,NPC43 scONEseq 155,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 155,GPL18573,Illumina NextSeq 500
176,SRR16194984,GSM5609841,OTHER,other,GSM5609841,NPC43 scONEseq 156,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 156,GPL18573,Illumina NextSeq 500
177,SRR16194983,GSM5609842,OTHER,other,GSM5609842,NPC43 scONEseq 157,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 157,GPL18573,Illumina NextSeq 500
178,SRR16194982,GSM5609843,OTHER,other,GSM5609843,NPC43 scONEseq 158,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 158,GPL18573,Illumina NextSeq 500
179,SRR16194981,GSM5609844,OTHER,other,GSM5609844,NPC43 scONEseq 159,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 159,GPL18573,Illumina NextSeq 500
180,SRR16194980,GSM5609845,OTHER,other,GSM5609845,NPC43 scONEseq 160,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 160,GPL18573,Illumina NextSeq 500
181,SRR16194979,GSM5609846,OTHER,other,GSM5609846,NPC43 scONEseq 161,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 161,GPL18573,Illumina NextSeq 500
182,SRR16194978,GSM5609847,OTHER,other,GSM5609847,NPC43 scONEseq 162,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 162,GPL18573,Illumina NextSeq 500
183,SRR16194977,GSM5609848,OTHER,other,GSM5609848,NPC43 scONEseq 163,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 163,GPL18573,Illumina NextSeq 500
184,SRR16194976,GSM5609849,OTHER,other,GSM5609849,NPC43 scONEseq 164,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 164,GPL18573,Illumina NextSeq 500
185,SRR16194975,GSM5609850,OTHER,other,GSM5609850,NPC43 scONEseq 165,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 165,GPL18573,Illumina NextSeq 500
186,SRR16194974,GSM5609851,OTHER,other,GSM5609851,NPC43 scONEseq 166,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 166,GPL18573,Illumina NextSeq 500
187,SRR16194973,GSM5609852,OTHER,other,GSM5609852,NPC43 scONEseq 167,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 167,GPL18573,Illumina NextSeq 500
188,SRR16194972,GSM5609853,OTHER,other,GSM5609853,NPC43 scONEseq 168,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 168,GPL18573,Illumina NextSeq 500
189,SRR16194971,GSM5609854,OTHER,other,GSM5609854,NPC43 scONEseq 169,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 169,GPL18573,Illumina NextSeq 500
190,SRR16194969,GSM5609500,RNA-Seq,cDNA,GSM5609500,Smart-HCT-76,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 076,GPL18573,Illumina NextSeq 500
191,SRR16194968,GSM5609501,RNA-Seq,cDNA,GSM5609501,Smart-HCT-77,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 077,GPL18573,Illumina NextSeq 500
192,SRR16194967,GSM5609502,RNA-Seq,cDNA,GSM5609502,Smart-HCT-78,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 078,GPL18573,Illumina NextSeq 500
193,SRR16194966,GSM5609503,RNA-Seq,cDNA,GSM5609503,Smart-HCT-79,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 079,GPL18573,Illumina NextSeq 500
194,SRR16194970,GSM5609855,OTHER,other,GSM5609855,NPC43 scONEseq 170,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 170,GPL18573,Illumina NextSeq 500
195,SRR16194965,GSM5609504,RNA-Seq,cDNA,GSM5609504,Smart-HCT-80,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 080,GPL18573,Illumina NextSeq 500
196,SRR16194964,GSM5609505,RNA-Seq,cDNA,GSM5609505,Smart-HCT-81,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 081,GPL18573,Illumina NextSeq 500
197,SRR16194963,GSM5609506,RNA-Seq,cDNA,GSM5609506,Smart-HCT-82,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 082,GPL18573,Illumina NextSeq 500
198,SRR16194962,GSM5609507,RNA-Seq,cDNA,GSM5609507,Smart-HCT-83,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 083,GPL18573,Illumina NextSeq 500
199,SRR16194961,GSM5609508,RNA-Seq,cDNA,GSM5609508,Smart-HCT-84,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 084,GPL18573,Illumina NextSeq 500
200,SRR16194960,GSM5609509,RNA-Seq,cDNA,GSM5609509,Smart-HCT-85,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 085,GPL18573,Illumina NextSeq 500
201,SRR16194959,GSM5609510,RNA-Seq,cDNA,GSM5609510,Smart-HCT-86,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 086,GPL18573,Illumina NextSeq 500
202,SRR16194958,GSM5609511,RNA-Seq,cDNA,GSM5609511,Smart-HCT-87,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 087,GPL18573,Illumina NextSeq 500
203,SRR16194957,GSM5609512,RNA-Seq,cDNA,GSM5609512,Smart-HCT-88,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 088,GPL18573,Illumina NextSeq 500
204,SRR16194956,GSM5609513,RNA-Seq,cDNA,GSM5609513,Smart-HCT-89,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 089,GPL18573,Illumina NextSeq 500
205,SRR16194955,GSM5609514,RNA-Seq,cDNA,GSM5609514,Smart-HCT-90,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 090,GPL18573,Illumina NextSeq 500
206,SRR16194954,GSM5609515,RNA-Seq,cDNA,GSM5609515,Smart-HCT-91,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 091,GPL18573,Illumina NextSeq 500
207,SRR16194953,GSM5609516,RNA-Seq,cDNA,GSM5609516,Smart-HCT-92,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 092,GPL18573,Illumina NextSeq 500
208,SRR16194952,GSM5609517,RNA-Seq,cDNA,GSM5609517,Smart-HCT-93,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 093,GPL18573,Illumina NextSeq 500
209,SRR16194951,GSM5609518,RNA-Seq,cDNA,GSM5609518,Smart-HCT-94,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 094,GPL18573,Illumina NextSeq 500
210,SRR16194950,GSM5609519,RNA-Seq,cDNA,GSM5609519,Smart-HCT-95,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 095,GPL18573,Illumina NextSeq 500
211,SRR16194949,GSM5609520,RNA-Seq,cDNA,GSM5609520,Smart-HCT-96,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 096,GPL18573,Illumina NextSeq 500
212,SRR16194948,GSM5609521,OTHER,other,GSM5609521,HCT116 scONEseq 001,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 097,GPL18573,Illumina NextSeq 500
213,SRR16194947,GSM5609522,OTHER,other,GSM5609522,HCT116 scONEseq 002,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 098,GPL18573,Illumina NextSeq 500
214,SRR16194946,GSM5609523,OTHER,other,GSM5609523,HCT116 scONEseq 003,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 099,GPL18573,Illumina NextSeq 500
215,SRR16194945,GSM5609668,OTHER,other,GSM5609668,HUVEC+H9 scONEseq 050,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 050,GPL18573,Illumina NextSeq 500
216,SRR16194944,GSM5609669,OTHER,other,GSM5609669,HUVEC+H9 scONEseq 051,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 051,GPL18573,Illumina NextSeq 500
217,SRR16194943,GSM5609670,OTHER,other,GSM5609670,HUVEC+H9 scONEseq 052,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 052,GPL18573,Illumina NextSeq 500
218,SRR16194941,GSM5609672,OTHER,other,GSM5609672,HUVEC+H9 scONEseq 054,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 054,GPL18573,Illumina NextSeq 500
219,SRR16194942,GSM5609671,OTHER,other,GSM5609671,HUVEC+H9 scONEseq 053,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 053,GPL18573,Illumina NextSeq 500
220,SRR16194940,GSM5609673,OTHER,other,GSM5609673,HUVEC+H9 scONEseq 055,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 055,GPL18573,Illumina NextSeq 500
221,SRR16194939,GSM5609674,OTHER,other,GSM5609674,HUVEC+H9 scONEseq 056,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 056,GPL18573,Illumina NextSeq 500
222,SRR16194938,GSM5609675,OTHER,other,GSM5609675,HUVEC+H9 scONEseq 057,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 057,GPL18573,Illumina NextSeq 500
223,SRR16194937,GSM5609676,OTHER,other,GSM5609676,HUVEC+H9 scONEseq 058,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 058,GPL18573,Illumina NextSeq 500
224,SRR16194936,GSM5609677,OTHER,other,GSM5609677,HUVEC+H9 scONEseq 059,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 059,GPL18573,Illumina NextSeq 500
225,SRR16194935,GSM5609678,OTHER,other,GSM5609678,HUVEC+H9 scONEseq 060,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 060,GPL18573,Illumina NextSeq 500
226,SRR16194934,GSM5609679,OTHER,other,GSM5609679,HUVEC+H9 scONEseq 061,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 061,GPL18573,Illumina NextSeq 500
227,SRR16194933,GSM5609680,OTHER,other,GSM5609680,HUVEC+H9 scONEseq 062,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 062,GPL18573,Illumina NextSeq 500
228,SRR16194932,GSM5609681,OTHER,other,GSM5609681,HUVEC+H9 scONEseq 063,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 063,GPL18573,Illumina NextSeq 500
229,SRR16194931,GSM5609682,OTHER,other,GSM5609682,HUVEC+H9 scONEseq 064,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 064,GPL18573,Illumina NextSeq 500
230,SRR16194930,GSM5609683,OTHER,other,GSM5609683,HUVEC+H9 scONEseq 065,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 065,GPL18573,Illumina NextSeq 500
231,SRR16194929,GSM5609684,OTHER,other,GSM5609684,HUVEC+H9 scONEseq 066,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 066,GPL18573,Illumina NextSeq 500
232,SRR16194928,GSM5609685,OTHER,other,GSM5609685,HUVEC+H9 scONEseq 067,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 067,GPL18573,Illumina NextSeq 500
233,SRR16194927,GSM5609686,OTHER,other,GSM5609686,NPC43 scONEseq 001,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 001,GPL18573,Illumina NextSeq 500
234,SRR16194926,GSM5609687,OTHER,other,GSM5609687,NPC43 scONEseq 002,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 002,GPL18573,Illumina NextSeq 500
235,SRR16194925,GSM5609688,OTHER,other,GSM5609688,NPC43 scONEseq 003,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 003,GPL18573,Illumina NextSeq 500
236,SRR16194924,GSM5609689,OTHER,other,GSM5609689,NPC43 scONEseq 004,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 004,GPL18573,Illumina NextSeq 500
237,SRR16194923,GSM5609690,OTHER,other,GSM5609690,NPC43 scONEseq 005,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 005,GPL18573,Illumina NextSeq 500
238,SRR16194922,GSM5609691,OTHER,other,GSM5609691,NPC43 scONEseq 006,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 006,GPL18573,Illumina NextSeq 500
239,SRR16194921,GSM5609764,OTHER,other,GSM5609764,NPC43 scONEseq 079,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 079,GPL18573,Illumina NextSeq 500
240,SRR16194920,GSM5609765,OTHER,other,GSM5609765,NPC43 scONEseq 080,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 080,GPL18573,Illumina NextSeq 500
241,SRR16194919,GSM5609766,OTHER,other,GSM5609766,NPC43 scONEseq 081,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 081,GPL18573,Illumina NextSeq 500
242,SRR16194918,GSM5609767,OTHER,other,GSM5609767,NPC43 scONEseq 082,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 082,GPL18573,Illumina NextSeq 500
243,SRR16194917,GSM5609768,OTHER,other,GSM5609768,NPC43 scONEseq 083,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 083,GPL18573,Illumina NextSeq 500
244,SRR16194916,GSM5609769,OTHER,other,GSM5609769,NPC43 scONEseq 084,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 084,GPL18573,Illumina NextSeq 500
245,SRR16194915,GSM5609770,OTHER,other,GSM5609770,NPC43 scONEseq 085,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 085,GPL18573,Illumina NextSeq 500
246,SRR16194914,GSM5609771,OTHER,other,GSM5609771,NPC43 scONEseq 086,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 086,GPL18573,Illumina NextSeq 500
247,SRR16194913,GSM5609772,OTHER,other,GSM5609772,NPC43 scONEseq 087,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 087,GPL18573,Illumina NextSeq 500
248,SRR16194912,GSM5609773,OTHER,other,GSM5609773,NPC43 scONEseq 088,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 088,GPL18573,Illumina NextSeq 500
249,SRR16194911,GSM5609774,OTHER,other,GSM5609774,NPC43 scONEseq 089,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 089,GPL18573,Illumina NextSeq 500
250,SRR16194910,GSM5609775,OTHER,other,GSM5609775,NPC43 scONEseq 090,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 090,GPL18573,Illumina NextSeq 500
251,SRR16194909,GSM5609776,OTHER,other,GSM5609776,NPC43 scONEseq 091,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 091,GPL18573,Illumina NextSeq 500
252,SRR16194908,GSM5609777,OTHER,other,GSM5609777,NPC43 scONEseq 092,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 092,GPL18573,Illumina NextSeq 500
253,SRR16194907,GSM5609778,OTHER,other,GSM5609778,NPC43 scONEseq 093,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 093,GPL18573,Illumina NextSeq 500
254,SRR16194906,GSM5609779,OTHER,other,GSM5609779,NPC43 scONEseq 094,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 094,GPL18573,Illumina NextSeq 500
255,SRR16195336,GSM5609780,OTHER,other,GSM5609780,NPC43 scONEseq 095,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 095,GPL18573,Illumina NextSeq 500
256,SRR16195335,GSM5609781,OTHER,other,GSM5609781,NPC43 scONEseq 096,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 096,GPL18573,Illumina NextSeq 500
257,SRR16195334,GSM5609782,OTHER,other,GSM5609782,NPC43 scONEseq 097,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 097,GPL18573,Illumina NextSeq 500
258,SRR16195333,GSM5609783,OTHER,other,GSM5609783,NPC43 scONEseq 098,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 098,GPL18573,Illumina NextSeq 500
259,SRR16195332,GSM5609784,OTHER,other,GSM5609784,NPC43 scONEseq 099,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 099,GPL18573,Illumina NextSeq 500
260,SRR16195328,GSM5609572,OTHER,other,GSM5609572,HCT116 scONEseq 052,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 148,GPL18573,Illumina NextSeq 500
261,SRR16195327,GSM5609573,OTHER,other,GSM5609573,HCT116 scONEseq 053,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 149,GPL18573,Illumina NextSeq 500
262,SRR16195331,GSM5609785,OTHER,other,GSM5609785,NPC43 scONEseq 100,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 100,GPL18573,Illumina NextSeq 500
263,SRR16195330,GSM5609786,OTHER,other,GSM5609786,NPC43 scONEseq 101,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 101,GPL18573,Illumina NextSeq 500
264,SRR16195329,GSM5609787,OTHER,other,GSM5609787,NPC43 scONEseq 102,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 102,GPL18573,Illumina NextSeq 500
265,SRR16195325,GSM5609575,OTHER,other,GSM5609575,HCT116 scONEseq 055,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 151,GPL18573,Illumina NextSeq 500
266,SRR16195326,GSM5609574,OTHER,other,GSM5609574,HCT116 scONEseq 054,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 150,GPL18573,Illumina NextSeq 500
267,SRR16195324,GSM5609576,OTHER,other,GSM5609576,HCT116 scONEseq 056,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 152,GPL18573,Illumina NextSeq 500
268,SRR16195323,GSM5609577,OTHER,other,GSM5609577,HCT116 scONEseq 057,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 153,GPL18573,Illumina NextSeq 500
269,SRR16195322,GSM5609578,OTHER,other,GSM5609578,HCT116 scONEseq 058,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 154,GPL18573,Illumina NextSeq 500
270,SRR16195321,GSM5609579,OTHER,other,GSM5609579,HCT116 scONEseq 059,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 155,GPL18573,Illumina NextSeq 500
271,SRR16195320,GSM5609580,OTHER,other,GSM5609580,HCT116 scONEseq 060,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 156,GPL18573,Illumina NextSeq 500
272,SRR16195319,GSM5609581,OTHER,other,GSM5609581,HCT116 scONEseq 061,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 157,GPL18573,Illumina NextSeq 500
