,Run,LibraryName,LibraryStrategy,LibrarySelection,SampleName,Sample_title,Sample_cell_line,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_cell_description,Sample_platform_id,Sample_instrument_model
29,SRR16195131,GSM5609718,OTHER,other,GSM5609718,NPC43 scONEseq 033,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 033,GPL18573,Illumina NextSeq 500
30,SRR16195130,GSM5609719,OTHER,other,GSM5609719,NPC43 scONEseq 034,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 034,GPL18573,Illumina NextSeq 500
31,SRR16195129,GSM5609720,OTHER,other,GSM5609720,NPC43 scONEseq 035,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 035,GPL18573,Illumina NextSeq 500
32,SRR16195128,GSM5609721,OTHER,other,GSM5609721,NPC43 scONEseq 036,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 036,GPL18573,Illumina NextSeq 500
33,SRR16195127,GSM5609722,OTHER,other,GSM5609722,NPC43 scONEseq 037,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 037,GPL18573,Illumina NextSeq 500
34,SRR16195126,GSM5609723,OTHER,other,GSM5609723,NPC43 scONEseq 038,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 038,GPL18573,Illumina NextSeq 500
35,SRR16195125,GSM5609724,OTHER,other,GSM5609724,NPC43 scONEseq 039,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 039,GPL18573,Illumina NextSeq 500
36,SRR16195124,GSM5609725,OTHER,other,GSM5609725,NPC43 scONEseq 040,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 040,GPL18573,Illumina NextSeq 500
37,SRR16195123,GSM5609726,OTHER,other,GSM5609726,NPC43 scONEseq 041,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 041,GPL18573,Illumina NextSeq 500
38,SRR16195122,GSM5609727,OTHER,other,GSM5609727,NPC43 scONEseq 042,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 042,GPL18573,Illumina NextSeq 500
39,SRR16195121,GSM5609728,OTHER,other,GSM5609728,NPC43 scONEseq 043,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 043,GPL18573,Illumina NextSeq 500
40,SRR16195120,GSM5609729,OTHER,other,GSM5609729,NPC43 scONEseq 044,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 044,GPL18573,Illumina NextSeq 500
41,SRR16195119,GSM5609730,OTHER,other,GSM5609730,NPC43 scONEseq 045,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 045,GPL18573,Illumina NextSeq 500
